編號,時間,區,村里,村里代碼,年齡區間,性別,案件類型,總計
ID_00501,105年2月,大同區,不明,不明,65歲以上,男,婚姻暴力,1
ID_00502,105年2月,大同區,不明,不明,6-未滿12歲,男,兒少保護,1
ID_00503,105年2月,大同區,不明,不明,未滿6歲,女,非保護性案件,1
ID_00504,105年2月,大同區,不明,不明,未滿6歲,男,兒少保護,1
ID_00505,105年2月,大同區,民權里,63000060013,12-未滿18歲,男,兒少保護,1
ID_00506,105年2月,大同區,民權里,63000060013,40-未滿65歲,男,其他家虐,1
ID_00507,105年2月,大同區,至聖里,63000060022,65歲以上,女,老人虐待,1
ID_00508,105年2月,大同區,保安里,63000060026,40-未滿65歲,男,非保護性案件,1
ID_00509,105年2月,大同區,建功里,63000060003,40-未滿65歲,女,其他家虐,1
ID_00510,105年2月,大安區,大學里,63000030043,20-未滿40歲,女,婚姻暴力,1
ID_00511,105年2月,大安區,不明,不明,12-未滿18歲,女,兒少保護,1
ID_00512,105年2月,大安區,不明,不明,12-未滿18歲, ,非保護性案件,1
ID_00513,105年2月,大安區,不明,不明,12-未滿18歲,男,非保護性案件,1
ID_00514,105年2月,大安區,不明,不明,20-未滿40歲,女,其他家虐,1
ID_00515,105年2月,大安區,不明,不明,20-未滿40歲,女,婚姻暴力,11
ID_00516,105年2月,大安區,不明,不明,40-未滿65歲,女,其他家虐,4
ID_00517,105年2月,大安區,不明,不明,40-未滿65歲,女,婚姻暴力,8
ID_00518,105年2月,大安區,不明,不明,40-未滿65歲,男,其他家虐,1
ID_00519,105年2月,大安區,不明,不明,40-未滿65歲,男,婚姻暴力,6
ID_00520,105年2月,大安區,不明,不明,65歲以上,女,老人虐待,1
ID_00521,105年2月,大安區,不明,不明,65歲以上,女,其他家虐,1
ID_00522,105年2月,大安區,不明,不明,65歲以上,女,婚姻暴力,2
ID_00523,105年2月,大安區,不明,不明,65歲以上,男,婚姻暴力,1
ID_00524,105年2月,大安區,不明,不明,6-未滿12歲,男,非保護性案件,1
ID_00525,105年2月,大安區,不明,不明,未滿6歲,女,兒少保護,1
ID_00526,105年2月,大安區,不明,不明,未滿6歲,男,兒少保護,1
ID_00527,105年2月,大安區,建倫里,63000030050,40-未滿65歲,女,婚姻暴力,1
ID_00528,105年2月,大安區,通化里,63000030031,20-未滿40歲,女,婚姻暴力,1
ID_00529,105年2月,大安區,通化里,63000030031,20-未滿40歲,男,其他家虐,2
ID_00530,105年2月,大安區,通化里,63000030031,40-未滿65歲,女,婚姻暴力,1
ID_00531,105年2月,大安區,敦煌里,63000030053,20-未滿40歲,女,其他家虐,1
ID_00532,105年2月,大安區,群英里,63000030037,40-未滿65歲,女,婚姻暴力,1
ID_00533,105年2月,大安區,福住里,63000030017,40-未滿65歲,女,婚姻暴力,1
ID_00534,105年2月,大安區,德安里,63000030001,20-未滿40歲,男,非保護性案件,1
ID_00535,105年2月,大安區,黎元里,63000030046,20-未滿40歲,男,其他家虐,1
ID_00536,105年2月,大安區,黎孝里,63000030047,40-未滿65歲,女,婚姻暴力,1
ID_00537,105年2月,大安區,黎和里,63000030048,20-未滿40歲,女,其他家虐,1
ID_00538,105年2月,大安區,黎和里,63000030048,40-未滿65歲,男,婚姻暴力,1
ID_00539,105年2月,大安區,錦安里,63000030016,20-未滿40歲,男,婚姻暴力,1
ID_00540,105年2月,大安區,錦安里,63000030016,40-未滿65歲,男,其他家虐,1
ID_00541,105年2月,大安區,龍生里,63000030028,40-未滿65歲,女,婚姻暴力,1
ID_00542,105年2月,大安區,龍圖里,63000030022,40-未滿65歲,女,婚姻暴力,1
ID_00543,105年2月,大安區,龍圖里,63000030022,65歲以上,女,婚姻暴力,1
ID_00544,105年2月,不明,不明,不明,12-未滿18歲,女,兒少保護,4
ID_00545,105年2月,不明,不明,不明,12-未滿18歲,女,其他家虐,1
ID_00546,105年2月,不明,不明,不明,12-未滿18歲,男,兒少保護,2
ID_00547,105年2月,不明,不明,不明,12-未滿18歲,男,非保護性案件,1
ID_00548,105年2月,不明,不明,不明,18-未滿20歲,女,其他家虐,2
ID_00549,105年2月,不明,不明,不明,18-未滿20歲,女,婚姻暴力,1
ID_00550,105年2月,不明,不明,不明,18-未滿20歲,男,非保護性案件,1
ID_00551,105年2月,不明,不明,不明,20-未滿40歲,女,其他家虐,9
ID_00552,105年2月,不明,不明,不明,20-未滿40歲,女,非保護性案件,2
ID_00553,105年2月,不明,不明,不明,20-未滿40歲,女,婚姻暴力,14
ID_00554,105年2月,不明,不明,不明,20-未滿40歲, ,婚姻暴力,1
ID_00555,105年2月,不明,不明,不明,20-未滿40歲,男,非保護性案件,2
ID_00556,105年2月,不明,不明,不明,20-未滿40歲,男,婚姻暴力,1
ID_00557,105年2月,不明,不明,不明,40-未滿65歲,女,其他家虐,6
ID_00558,105年2月,不明,不明,不明,40-未滿65歲,女,婚姻暴力,14
ID_00559,105年2月,不明,不明,不明,40-未滿65歲, ,婚姻暴力,2
ID_00560,105年2月,不明,不明,不明,40-未滿65歲,男,其他家虐,1
ID_00561,105年2月,不明,不明,不明,65歲以上,女,兒少保護,2
ID_00562,105年2月,不明,不明,不明,65歲以上,女,非保護性案件,3
ID_00563,105年2月,不明,不明,不明,65歲以上,女,婚姻暴力,1
ID_00564,105年2月,不明,不明,不明,65歲以上, ,非保護性案件,8
ID_00565,105年2月,不明,不明,不明,6-未滿12歲,女,非保護性案件,2
ID_00566,105年2月,不明,不明,不明,6-未滿12歲, ,兒少保護,1
ID_00567,105年2月,不明,不明,不明,6-未滿12歲,男,兒少保護,2
ID_00568,105年2月,不明,不明,不明,6-未滿12歲,男,非保護性案件,1
ID_00569,105年2月,不明,不明,不明,未滿6歲,女,兒少保護,3
ID_00570,105年2月,不明,不明,不明,未滿6歲, ,兒少保護,1
ID_00571,105年2月,不明,不明,不明,未滿6歲,男,兒少保護,8
ID_00572,105年2月,中山區,不明,不明,12-未滿18歲,女,兒少保護,1
ID_00573,105年2月,中山區,不明,不明,12-未滿18歲,男,兒少保護,1
ID_00574,105年2月,中山區,不明,不明,20-未滿40歲,女,其他家虐,3
ID_00575,105年2月,中山區,不明,不明,20-未滿40歲,女,婚姻暴力,12
ID_00576,105年2月,中山區,不明,不明,20-未滿40歲,男,其他家虐,2
ID_00577,105年2月,中山區,不明,不明,20-未滿40歲,男,婚姻暴力,3
ID_00578,105年2月,中山區,不明,不明,40-未滿65歲,女,其他家虐,4
ID_00579,105年2月,中山區,不明,不明,40-未滿65歲,女,婚姻暴力,12
ID_00580,105年2月,中山區,不明,不明,40-未滿65歲, ,婚姻暴力,1
ID_00581,105年2月,中山區,不明,不明,40-未滿65歲,男,其他家虐,2
ID_00582,105年2月,中山區,不明,不明,40-未滿65歲,男,婚姻暴力,4
ID_00583,105年2月,中山區,不明,不明,65歲以上,女,婚姻暴力,4
ID_00584,105年2月,中山區,不明,不明,65歲以上,男,老人虐待,1
ID_00585,105年2月,中山區,不明,不明,6-未滿12歲,男,兒少保護,1
ID_00586,105年2月,中山區,不明,不明,未滿6歲,女,兒少保護,1
ID_00587,105年2月,中山區,不明,不明,未滿6歲,男,兒少保護,1
ID_00588,105年2月,中山區,中原里,63000040031,40-未滿65歲,女,婚姻暴力,1
ID_00589,105年2月,中山區,正義里,63000040002,40-未滿65歲,男,婚姻暴力,1
ID_00590,105年2月,中山區,朱園里,63000040036,6-未滿12歲,男,非保護性案件,1
ID_00591,105年2月,中山區,朱馥里,63000040034,20-未滿40歲,女,婚姻暴力,1
ID_00592,105年2月,中山區,行仁里,63000040025,40-未滿65歲,女,婚姻暴力,2
ID_00593,105年2月,中山區,松江里,63000040021,65歲以上,女,婚姻暴力,1
ID_00594,105年2月,中山區,圓山里,63000040012,65歲以上,女,婚姻暴力,1
ID_00595,105年2月,中山區,圓山里,63000040012,65歲以上,男,老人虐待,1
ID_00596,105年2月,中山區,龍洲里,63000040035,40-未滿65歲,女,非保護性案件,1
ID_00597,105年2月,中正區,三愛里,63000050031,20-未滿40歲,女,婚姻暴力,1
ID_00598,105年2月,中正區,不明,不明,20-未滿40歲,女,其他家虐,3
ID_00599,105年2月,中正區,不明,不明,20-未滿40歲,女,婚姻暴力,6
ID_00600,105年2月,中正區,不明,不明,20-未滿40歲,男,其他家虐,2
ID_00601,105年2月,中正區,不明,不明,20-未滿40歲,男,婚姻暴力,2
ID_00602,105年2月,中正區,不明,不明,40-未滿65歲,女,其他家虐,2
ID_00603,105年2月,中正區,不明,不明,40-未滿65歲,女,婚姻暴力,9
ID_00604,105年2月,中正區,不明,不明,40-未滿65歲,男,其他家虐,2
ID_00605,105年2月,中正區,不明,不明,40-未滿65歲,男,婚姻暴力,1
ID_00606,105年2月,中正區,不明,不明,65歲以上,女,老人虐待,2
ID_00607,105年2月,中正區,不明,不明,65歲以上,男,非保護性案件,1
ID_00608,105年2月,中正區,不明,不明,6-未滿12歲,女,其他家虐,1
ID_00609,105年2月,中正區,不明,不明,6-未滿12歲,男,兒少保護,1
ID_00610,105年2月,中正區,忠勤里,63000050014,40-未滿65歲,女,婚姻暴力,1
ID_00611,105年2月,中正區,忠勤里,63000050014,6-未滿12歲,女,兒少保護,1
ID_00612,105年2月,內湖區,大湖里,63000100012,40-未滿65歲,女,婚姻暴力,1
ID_00613,105年2月,內湖區,不明,不明,12-未滿18歲,女,其他家虐,2
ID_00614,105年2月,內湖區,不明,不明,12-未滿18歲,男,非保護性案件,1
ID_00615,105年2月,內湖區,不明,不明,18-未滿20歲,女,婚姻暴力,1
ID_00616,105年2月,內湖區,不明,不明,20-未滿40歲,女,不明,1
ID_00617,105年2月,內湖區,不明,不明,20-未滿40歲,女,其他家虐,5
ID_00618,105年2月,內湖區,不明,不明,20-未滿40歲,女,婚姻暴力,13
ID_00619,105年2月,內湖區,不明,不明,20-未滿40歲,男,其他家虐,3
ID_00620,105年2月,內湖區,不明,不明,20-未滿40歲,男,婚姻暴力,2
ID_00621,105年2月,內湖區,不明,不明,40-未滿65歲,女,其他家虐,8
ID_00622,105年2月,內湖區,不明,不明,40-未滿65歲,女,婚姻暴力,8
ID_00623,105年2月,內湖區,不明,不明,40-未滿65歲, ,其他家虐,1
ID_00624,105年2月,內湖區,不明,不明,40-未滿65歲, ,婚姻暴力,1
ID_00625,105年2月,內湖區,不明,不明,40-未滿65歲,男,其他家虐,2
ID_00626,105年2月,內湖區,不明,不明,40-未滿65歲,男,婚姻暴力,3
ID_00627,105年2月,內湖區,不明,不明,65歲以上,女,老人虐待,2
ID_00628,105年2月,內湖區,不明,不明,65歲以上,女,婚姻暴力,2
ID_00629,105年2月,內湖區,不明,不明,65歲以上,男,老人虐待,1
ID_00630,105年2月,內湖區,不明,不明,6-未滿12歲,男,兒少保護,1
ID_00631,105年2月,內湖區,五分里,63000100022,20-未滿40歲,女,婚姻暴力,2
ID_00632,105年2月,內湖區,五分里,63000100022,20-未滿40歲,男,其他家虐,1
ID_00633,105年2月,內湖區,五分里,63000100022,40-未滿65歲,男,其他家虐,1
ID_00634,105年2月,內湖區,內湖里,63000100009,20-未滿40歲,女,婚姻暴力,1
ID_00635,105年2月,內湖區,石潭里,63000100028,20-未滿40歲,女,其他家虐,1
ID_00636,105年2月,內湖區,西安里,63000100003,40-未滿65歲,女,非保護性案件,1
ID_00637,105年2月,內湖區,西康里,63000100002,20-未滿40歲,女,婚姻暴力,1
ID_00638,105年2月,內湖區,西湖里,63000100001,40-未滿65歲,女,婚姻暴力,1
ID_00639,105年2月,內湖區,金湖里,63000100034,40-未滿65歲,男,非保護性案件,1
ID_00640,105年2月,內湖區,清白里,63000100017,20-未滿40歲,女,其他家虐,1
