編號,時間,區,村里,村里代碼,年齡區間,性別,案件類型,總計
ID_00000,105年1月,士林區,不明,不明,12-未滿18歲,2,兒少保護,1
ID_00001,105年1月,士林區,不明,不明,12-未滿18歲,1,兒少保護,1
ID_00002,105年1月,士林區,不明,不明,18-未滿20歲,2,其他家虐,2
ID_00003,105年1月,士林區,不明,不明,20-未滿40歲,2,其他家虐,5
ID_00004,105年1月,士林區,不明,不明,20-未滿40歲,2,非保護性案件,1
ID_00005,105年1月,士林區,不明,不明,20-未滿40歲,2,婚姻暴力,12
ID_00006,105年1月,士林區,不明,不明,20-未滿40歲,1,其他家虐,5
ID_00007,105年1月,士林區,不明,不明,40-未滿65歲,2,其他家虐,2
ID_00008,105年1月,士林區,不明,不明,40-未滿65歲,2,非保護性案件,1
ID_00009,105年1月,士林區,不明,不明,40-未滿65歲,2,婚姻暴力,16
ID_00010,105年1月,士林區,不明,不明,40-未滿65歲, ,婚姻暴力,1
ID_00011,105年1月,士林區,不明,不明,40-未滿65歲,1,非保護性案件,2
ID_00012,105年1月,士林區,不明,不明,40-未滿65歲,1,婚姻暴力,4
ID_00013,105年1月,士林區,不明,不明,65歲以上,2,老人虐待,2
ID_00014,105年1月,士林區,不明,不明,65歲以上,2,婚姻暴力,2
ID_00015,105年1月,士林區,不明,不明,65歲以上,1,老人虐待,1
ID_00016,105年1月,士林區,不明,不明,65歲以上,1,婚姻暴力,3
ID_00017,105年1月,士林區,不明,不明,6-未滿12歲,2,非保護性案件,1
ID_00018,105年1月,士林區,不明,不明,6-未滿12歲,1,兒少保護,1
ID_00019,105年1月,士林區,天山里,63000110040,40-未滿65歲,2,婚姻暴力,1
ID_00020,105年1月,士林區,天山里,63000110040,6-未滿12歲,2,非保護性案件,1
ID_00021,105年1月,士林區,天和里,63000110039,20-未滿40歲,2,婚姻暴力,1
ID_00022,105年1月,士林區,天祿里,63000110037,40-未滿65歲,1,其他家虐,1
ID_00023,105年1月,士林區,平等里,63000110048,20-未滿40歲,1,其他家虐,1
ID_00024,105年1月,士林區,永倫里,63000110022,40-未滿65歲,1,婚姻暴力,1
ID_00025,105年1月,士林區,岩山里,63000110025,65歲以上,1,婚姻暴力,1
ID_00026,105年1月,士林區,忠誠里,63000110030,40-未滿65歲,2,非保護性案件,1
ID_00027,105年1月,士林區,忠誠里,63000110030,40-未滿65歲,1,非保護性案件,1
ID_00028,105年1月,士林區,承德里,63000110012,20-未滿40歲,2,婚姻暴力,1
ID_00029,105年1月,士林區,社園里,63000110021,20-未滿40歲,2,非保護性案件,1
ID_00030,105年1月,士林區,社新里,63000110020,40-未滿65歲,1,其他家虐,1
ID_00031,105年1月,士林區,芝山里,63000110031,18-未滿20歲,2,非保護性案件,1
ID_00032,105年1月,士林區,後港里,63000110008,20-未滿40歲,2,婚姻暴力,1
ID_00033,105年1月,士林區,富光里,63000110016,40-未滿65歲,2,婚姻暴力,1
ID_00034,105年1月,士林區,聖山里,63000110029,40-未滿65歲,2,其他家虐,1
ID_00035,105年1月,士林區,聖山里,63000110029,65歲以上,1,老人虐待,1
ID_00036,105年1月,士林區,福安里,63000110023,40-未滿65歲,2,其他家虐,1
ID_00037,105年1月,士林區,福志里,63000110005,20-未滿40歲,2,婚姻暴力,1
ID_00038,105年1月,士林區,德華里,63000110028,20-未滿40歲,2,婚姻暴力,1
ID_00039,105年1月,大同區,不明,不明,20-未滿40歲,2,其他家虐,4
ID_00040,105年1月,大同區,不明,不明,20-未滿40歲,2,非保護性案件,1
ID_00041,105年1月,大同區,不明,不明,20-未滿40歲,2,婚姻暴力,7
ID_00042,105年1月,大同區,不明,不明,20-未滿40歲, ,婚姻暴力,1
ID_00043,105年1月,大同區,不明,不明,20-未滿40歲,1,其他家虐,3
ID_00044,105年1月,大同區,不明,不明,20-未滿40歲,1,婚姻暴力,2
ID_00045,105年1月,大同區,不明,不明,40-未滿65歲,2,其他家虐,6
ID_00046,105年1月,大同區,不明,不明,40-未滿65歲,2,婚姻暴力,5
ID_00047,105年1月,大同區,不明,不明,40-未滿65歲,1,其他家虐,5
ID_00048,105年1月,大同區,不明,不明,40-未滿65歲,1,婚姻暴力,3
ID_00049,105年1月,大同區,不明,不明,65歲以上,2,老人虐待,1
ID_00050,105年1月,大同區,不明,不明,65歲以上,2,婚姻暴力,1
ID_00051,105年1月,大同區,不明,不明,6-未滿12歲,2,其他家虐,1
ID_00052,105年1月,大同區,不明,不明,6-未滿12歲,1,兒少保護,1
ID_00053,105年1月,大同區,光能里,63000060008,20-未滿40歲,2,其他家虐,1
ID_00054,105年1月,大同區,斯文里,63000060020,18-未滿20歲,2,其他家虐,1
ID_00055,105年1月,大同區,鄰江里,63000060021,20-未滿40歲,1,其他家虐,1
ID_00056,105年1月,大安區,大學里,63000030043,40-未滿65歲,2,婚姻暴力,1
ID_00057,105年1月,大安區,不明,不明,12-未滿18歲,2,兒少保護,1
ID_00058,105年1月,大安區,不明,不明,12-未滿18歲,2,其他家虐,1
ID_00059,105年1月,大安區,不明,不明,12-未滿18歲,1,兒少保護,2
ID_00060,105年1月,大安區,不明,不明,12-未滿18歲,1,非保護性案件,1
ID_00061,105年1月,大安區,不明,不明,18-未滿20歲,2,其他家虐,2
ID_00062,105年1月,大安區,不明,不明,20-未滿40歲,2,其他家虐,2
ID_00063,105年1月,大安區,不明,不明,20-未滿40歲,2,婚姻暴力,6
ID_00064,105年1月,大安區,不明,不明,40-未滿65歲,2,其他家虐,2
ID_00065,105年1月,大安區,不明,不明,40-未滿65歲,2,非保護性案件,2
ID_00066,105年1月,大安區,不明,不明,40-未滿65歲,2,婚姻暴力,10
ID_00067,105年1月,大安區,不明,不明,40-未滿65歲, ,婚姻暴力,1
ID_00068,105年1月,大安區,不明,不明,40-未滿65歲,1,其他家虐,2
ID_00069,105年1月,大安區,不明,不明,40-未滿65歲,1,婚姻暴力,6
ID_00070,105年1月,大安區,不明,不明,65歲以上,2,不明,1
ID_00071,105年1月,大安區,不明,不明,65歲以上,2,老人虐待,2
ID_00072,105年1月,大安區,不明,不明,65歲以上,2,婚姻暴力,2
ID_00073,105年1月,大安區,不明,不明,6-未滿12歲,2,兒少保護,3
ID_00074,105年1月,大安區,不明,不明,6-未滿12歲,2,非保護性案件,1
ID_00075,105年1月,大安區,不明,不明,未滿6歲,2,兒少保護,1
ID_00076,105年1月,大安區,不明,不明,未滿6歲,2,非保護性案件,1
ID_00077,105年1月,大安區,不明,不明,未滿6歲,1,兒少保護,2
ID_00078,105年1月,大安區,不明,不明,未滿6歲,1,非保護性案件,1
ID_00079,105年1月,大安區,全安里,63000030035,20-未滿40歲,2,婚姻暴力,1
ID_00080,105年1月,大安區,車層里,63000030055,40-未滿65歲,2,其他家虐,1
ID_00081,105年1月,大安區,車層里,63000030055,40-未滿65歲,1,婚姻暴力,1
ID_00082,105年1月,大安區,和安里,63000030003,65歲以上,1,老人虐待,1
ID_00083,105年1月,大安區,昌隆里,63000030008,65歲以上,2,老人虐待,1
ID_00084,105年1月,大安區,法治里,63000030034,40-未滿65歲,2,其他家虐,1
